formula,band_gap,e_above_hull,Z_mean,Z_std,Z_range,EN_mean,EN_std,EN_range,EN_max,EN_min,Radius_mean,Radius_std,Radius_range,Mass_mean,Mass_std,IE_mean,IE_std,N_elements,n_alkali,n_alkaline_earth,n_transition,n_halogen,n_chalcogen,metal_ratio,EN_diff_max,A_site_count,B_site_count,X_site_count,A_to_B_ratio,X_to_B_ratio,tolerance_factor_approx
Cs2TlSbI6,0.9367000000000001,0.023419340000002002,56.0,8.402380615040002,30.0,2.121,0.7444655801311435,1.87,2.66,0.79,1.6949999999999998,0.47563115961845903,1.2000000000000002,135.33810238,23.216797122058438,8.521204775486,2.6646621513961666,4.0,1.0,0.0,0.0,1.0,0.0,0.5,1.87,2.0,2.0,6.0,1.0,3.0,0.919813699104452
Cs2TmCuCl6,2.436499999999999,0.039892031249992,30.999999999999996,19.43193248238579,52.0,2.3689999999999998,1.0105785471698874,2.37,3.16,0.79,1.4300000000000002,0.6289674077406555,1.6,71.10091138,49.892559542625584,9.950429945486,3.8355457818231433,4.0,1.0,0.0,1.0,1.0,0.0,0.75,2.37,2.0,1.0,6.0,2.0,6.0,1.083227409477264
Cs2YAgBr6,3.335,0.009489403312495,40.6,8.039900496896712,20.0,2.249,0.9192981018146399,2.17,2.96,0.79,1.55,0.568330889535313,1.4500000000000002,94.20089537999999,21.0649600450888,9.246416545486,3.298683042197413,4.0,1.0,0.0,2.0,1.0,0.0,0.75,2.17,2.0,2.0,6.0,1.0,3.0,0.9304036594559836
Cs2YAgCl6,3.8705,0.0,29.8,16.228370220080635,38.0,2.3689999999999998,1.0125951807114235,2.37,3.16,0.79,1.46,0.6327716807822551,1.6,67.53029538,40.99463420723306,9.938710345486,3.841302481971575,4.0,1.0,0.0,2.0,1.0,0.0,0.75,2.37,2.0,2.0,6.0,1.0,3.0,0.9428090415820632
Cs2YAgI6,2.459399999999999,0.020861807250000003,51.4,4.6303347611160905,16.0,2.069,0.7815043186061099,1.87,2.66,0.79,1.7000000000000002,0.46690470119715016,1.2000000000000002,122.40117738,12.94411766298534,8.428886545486,2.6700257811008337,4.0,1.0,0.0,2.0,1.0,0.0,0.75,1.87,2.0,2.0,6.0,1.0,3.0,0.9123958466923193
Cs2YAuBr6,1.863,0.095617688249996,43.8,14.062716664997557,44.0,2.31,0.9163405480496866,2.17,2.96,0.79,1.525,0.5710735504293646,1.4500000000000002,103.11073228000001,37.43990109517164,9.411348545486,3.251953228340252,4.0,1.0,0.0,2.0,1.0,0.0,0.75,2.17,2.0,2.0,6.0,1.0,3.0,0.9730827264035057
Cs2YAuCl6,2.2263,0.099735442499984,33.0,21.577766334817884,62.0,2.4299999999999997,1.0026365243696242,2.37,3.16,0.79,1.435,0.6316842565712716,1.6,76.44013228,55.80174798471971,10.103642345486,3.7710916115084756,4.0,1.0,0.0,2.0,1.0,0.0,0.75,2.37,2.0,2.0,6.0,1.0,3.0,0.988576470785076
Cs2YAuI6,1.1517,0.077787750499998,54.599999999999994,9.243376006633074,40.0,2.13,0.7920101009456887,1.87,2.66,0.79,1.675,0.4781474667924113,1.25,131.31101428,24.960849506381887,8.593818545486,2.6631938296141575,4.0,1.0,0.0,2.0,1.0,0.0,0.75,1.87,2.0,2.0,6.0,1.0,3.0,0.9507318066373747
Cs2YCuBr6,2.0386,0.048935451749996,38.8,8.411896337925237,26.0,2.246,0.9203825291692579,2.17,2.96,0.79,1.525,0.5710735504293646,1.4500000000000002,89.76867537999999,22.34682767399155,9.261431145486,3.2913803352247686,4.0,1.0,0.0,2.0,1.0,0.0,0.75,2.17,2.0,2.0,6.0,1.0,3.0,0.9730827264035057
Cs2YCuCl6,2.5338000000000003,0.040192690500004,28.0,15.185519418182572,38.0,2.366,1.0139349091534429,2.37,3.16,0.79,1.435,0.6316842565712716,1.6,63.09807538,38.727099887684986,9.953724945485998,3.832321806326493,4.0,1.0,0.0,2.0,1.0,0.0,0.75,2.37,2.0,2.0,6.0,1.0,3.0,0.988576470785076
Cs2YCuI6,1.7212,0.06680352224999901,49.599999999999994,8.151073548925932,26.0,2.0660000000000003,0.7820895089438294,1.87,2.66,0.79,1.675,0.4781474667924113,1.25,117.96895737999999,21.752656279985125,8.443901145485999,2.6656072744953723,4.0,1.0,0.0,2.0,1.0,0.0,0.75,1.87,2.0,2.0,6.0,1.0,3.0,0.9507318066373747
Cs2YInBr6,2.9636,0.006738723500000001,40.8,8.219489035213806,20.0,2.234,0.9255830594819677,2.17,2.96,0.79,1.545,0.5680889014934195,1.4500000000000002,94.89587538,21.611953248940797,9.067428715486,3.4303825299104167,4.0,1.0,0.0,1.0,1.0,0.0,0.75,2.17,2.0,2.0,6.0,1.0,3.0,0.9386373201591337
Cs2YInCl6,3.496,0.009258284562495,30.0,16.449924011982546,38.0,2.354,1.0200705857929637,2.37,3.16,0.79,1.455,0.6318425436768246,1.6,68.22527538,41.72499349902955,9.759722515485999,3.9861815784787957,4.0,1.0,0.0,1.0,1.0,0.0,0.75,2.37,2.0,2.0,6.0,1.0,3.0,0.9516203410361014
Cs2YTlBr6,3.6928,0.008339522999997,44.0,14.567086187704115,46.0,2.218,0.9346314781773616,2.17,2.96,0.79,1.58,0.5780138406647372,1.4500000000000002,103.85240538,39.318158701140106,9.099621875486001,3.4008227946120946,4.0,1.0,0.0,1.0,1.0,0.0,0.75,2.17,2.0,2.0,6.0,1.0,3.0,0.8838834764831843
Cs2YTlI6,3.0866,0.003941125,54.8,9.77547952787995,42.0,2.0380000000000003,0.7924746052713615,1.87,2.66,0.79,1.73,0.4691481642295961,1.2000000000000002,132.05268738,26.932965610352333,8.282091875486,2.7519639252877846,4.0,1.0,0.0,1.0,1.0,0.0,0.75,1.87,2.0,2.0,6.0,1.0,3.0,0.8702852691526738
Cs2ZnBr4,3.8346,0.0,40.0,9.636241116594315,25.0,2.1528571428571426,0.9690601379792732,2.17,2.96,0.79,1.5928571428571427,0.6405514206127246,1.4500000000000002,92.97655768571428,25.724281139176476,9.205321207837143,3.4573895600838873,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.17,8.0,4.0,16.0,2.0,4.0,1.0606601717798212
Cs2ZnI4,3.1791,0.0007013172619020001,50.285714285714285,8.327480938165527,25.0,1.9814285714285713,0.827274847598661,1.87,2.66,0.79,1.7357142857142858,0.546883564072885,1.25,119.83396911428571,22.37272739815456,8.426721207837142,2.888990704903886,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,8.0,4.0,16.0,2.0,4.0,1.0285189544531599
Cs2ZnI4,3.224,0.0,50.285714285714285,8.327480938165527,25.0,1.9814285714285713,0.827274847598661,1.87,2.66,0.79,1.7357142857142858,0.546883564072885,1.25,119.83396911428571,22.37272739815456,8.426721207837142,2.888990704903886,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,24.0,12.0,48.0,2.0,4.0,1.0285189544531599
Cs2ZrCl6,3.6531000000000002,0.0,27.999999999999996,16.083117442419756,38.0,2.4299999999999997,1.042784733298297,2.37,3.16,0.79,1.4166666666666665,0.6548960901462834,1.6,63.305878199999995,40.99094722202196,10.24752616165111,3.918439786512522,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.37,2.0,1.0,6.0,2.0,6.0,0.9982683969692436
Cs2ZrI6,1.839799999999999,0.0,51.99999999999999,4.320493798938573,15.0,2.0966666666666667,0.8101165896887244,1.87,2.66,0.79,1.6833333333333331,0.49216076867444675,1.2000000000000002,124.27352486666666,11.938837912449445,8.56994416165111,2.7631334574544693,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,2.0,1.0,6.0,2.0,6.0,0.958788855846166
Cs3Au2Br11,1.1515,0.0,44.25,15.213070038621396,44.0,2.5006250000000003,0.8330326280374617,2.17,2.96,0.79,1.446875,0.5577490335043173,1.4500000000000002,104.47459335625,40.446976792333025,10.005295948893124,3.054108095400702,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.17,12.0,8.0,44.0,1.5,5.5,1.0606601717798212
Cs3Bi2Br9,2.599599999999999,0.0,46.14285714285714,17.049747140383648,48.0,2.3607142857142858,0.8809853597430735,2.17,2.96,0.79,1.525,0.5820990342839316,1.4500000000000002,109.70093969285713,45.76249959894433,9.469788513020715,3.297871932030038,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.17,3.0,2.0,9.0,1.5,4.5,0.9642365197998375
Cs3Bi2Br9,2.7811,0.0011559885714280001,46.14285714285714,17.049747140383648,48.0,2.3607142857142858,0.8809853597430735,2.17,2.96,0.79,1.525,0.5820990342839316,1.4500000000000002,109.70093969285713,45.76249959894433,9.469788513020715,3.297871932030038,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.17,6.0,4.0,18.0,1.5,4.5,0.9642365197998375
Cs3Bi2Cl9,3.229899999999999,0.0,34.57142857142857,24.959150299508785,66.0,2.4892857142857143,0.9692372869258317,2.37,3.16,0.79,1.4285714285714286,0.6452337023220696,1.6,81.1252968357143,65.19806990459976,10.211531870163572,3.82869969463637,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.37,3.0,2.0,9.0,1.5,4.5,0.9790709277967581
Cs3Bi2Cl9,3.102499999999999,0.0008956396428550001,34.57142857142857,24.959150299508785,66.0,2.4892857142857143,0.9692372869258317,2.37,3.16,0.79,1.4285714285714286,0.6452337023220696,1.6,81.1252968357143,65.19806990459976,10.211531870163572,3.82869969463637,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.37,12.0,8.0,36.0,1.5,4.5,0.9790709277967581
Cs3Bi2I9,2.350899999999999,0.000866506428571,57.714285714285715,10.353940391592616,30.0,2.167857142857143,0.7520940155082112,1.87,2.66,0.79,1.6857142857142857,0.48234122903240384,1.2000000000000002,139.91552755,28.298063111470082,8.593863513020715,2.682504844586841,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.87,6.0,4.0,18.0,1.5,4.5,0.9428090415820632
Cs3Bi2I9,2.3796,0.0,57.714285714285715,10.353940391592616,30.0,2.167857142857143,0.7520940155082112,1.87,2.66,0.79,1.6857142857142857,0.48234122903240384,1.2000000000000002,139.91552755,28.298063111470082,8.593863513020715,2.682504844586841,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.87,6.0,4.0,18.0,1.5,4.5,0.9428090415820632
Cs3BiBr6,3.4221,0.044006506999999,45.8,15.289211882893113,48.0,2.215,0.9726278836225085,2.17,2.96,0.79,1.63,0.6485368146836386,1.4500000000000002,108.71207557,40.974536686844594,8.985009318229,3.586906252448938,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.17,3.0,1.0,6.0,3.0,6.0,0.9642365197998375
Cs3BiCl6,3.9505,0.053878788999998005,35.0,23.340951137432253,66.0,2.335,1.0650845036897307,2.37,3.16,0.79,1.54,0.7158212067269313,1.6,82.04147557,60.74359154294432,9.677303118228998,4.135472477769368,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.37,3.0,1.0,6.0,3.0,6.0,0.9790709277967581
Cs3BiCl6,3.8725,0.0,35.0,23.340951137432253,66.0,2.335,1.0650845036897307,2.37,3.16,0.79,1.54,0.7158212067269313,1.6,82.04147557,60.74359154294432,9.677303118228998,4.135472477769368,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.37,12.0,4.0,24.0,3.0,6.0,0.9790709277967581
Cs3BiI6,2.8318000000000003,0.064825673000001,56.599999999999994,8.845337754998393,30.0,2.035,0.8363043704298095,1.87,2.66,0.79,1.78,0.54,1.2000000000000002,136.91235756999998,24.17212340800799,8.167479318228999,2.947237320223941,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.87,3.0,1.0,6.0,3.0,6.0,0.9428090415820632
Cs3CdBr5,3.0548,0.002636977222219,43.111111111111114,9.290908871274166,20.0,2.095555555555556,1.0007898115556433,2.17,2.96,0.79,1.6777777777777778,0.6633714859677509,1.4500000000000002,101.18303952222222,24.515276535774323,8.860509686921112,3.6152324346211495,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.17,6.0,2.0,10.0,3.0,5.0,0.9820927516479826
Cs3CdI5,3.082,0.0050949799999980006,53.111111111111114,2.0245407953653998,7.0,1.9288888888888889,0.8577029328314404,1.87,2.66,0.79,1.8166666666666669,0.5557777333511023,1.2000000000000002,127.29441174444446,5.932280176727434,8.103537464698888,3.0095146636538885,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,12.0,4.0,20.0,3.0,5.0,0.958788855846166
Cs3CoBr5,0.6983,0.0,40.77777777777778,10.347063757175835,28.0,2.1166666666666667,0.9939930695041199,2.17,2.96,0.79,1.6555555555555554,0.6705903056447292,1.4500000000000002,95.24106118888889,27.386548522275532,8.736864131365557,3.62756735129233,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.17,6.0,2.0,10.0,3.0,5.0,1.0606601717798212
Cs3CoCl5,0.7602,0.0,30.77777777777778,17.395898480694157,38.0,2.227777777777778,1.0887176736140118,2.37,3.16,0.79,1.5722222222222222,0.7345108391572627,1.6,70.5460611888889,44.669843430240206,9.377876909143334,4.175246822624023,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.37,6.0,2.0,10.0,3.0,5.0,1.083227409477264
Cs3CoI5,0.9287000000000001,0.0,50.77777777777778,8.456132262417976,28.0,1.9500000000000002,0.8538930456054397,1.87,2.66,0.79,1.7944444444444443,0.5698169513314705,1.25,121.35243341111112,22.237864565392762,7.979891909143333,2.993213213364441,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,12.0,4.0,20.0,3.0,5.0,1.0285189544531599
Cs3Cr2Br9,1.0085,0.0,37.714285714285715,9.77919490864276,31.0,2.3092857142857146,0.9094226134179414,2.17,2.96,0.79,1.4964285714285714,0.5826246910423939,1.4500000000000002,87.27461112142856,25.669048564784163,9.395644798735,3.3515434021559556,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.17,6.0,4.0,18.0,1.5,4.5,1.0398629135096287
Cs3Cr2I9,1.1273,0.016257456785713,49.28571428571429,10.353940391592616,31.0,2.1164285714285715,0.7724784522455456,1.87,2.66,0.79,1.657142857142857,0.4923910839889739,1.2000000000000002,117.48919897857144,26.84545791018985,8.519719798735,2.7244866437228183,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,6.0,4.0,18.0,1.5,4.5,1.0101525445522106
Cs3Cr2I9,0.7209000000000001,0.0,49.28571428571429,10.353940391592616,31.0,2.1164285714285715,0.7724784522455456,1.87,2.66,0.79,1.657142857142857,0.4923910839889739,1.2000000000000002,117.48919897857144,26.84545791018985,8.519719798735,2.7244866437228183,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,6.0,4.0,18.0,1.5,4.5,1.0101525445522106
Cs3Cu2Br5,2.1310000000000002,0.0,39.8,10.205880657738458,26.0,2.097,0.9447862192051703,2.17,2.96,0.79,1.625,0.6427480066091221,1.4500000000000002,92.53283557,27.143609118875606,8.620352718229,3.458426303463114,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.17,12.0,8.0,20.0,1.5,2.5,1.0606601717798212
Cs3Cu2Cl5,2.3072,0.0,30.8,16.479077644091614,38.0,2.197,1.0369286378531553,2.37,3.16,0.79,1.55,0.7,1.6,70.30733557,42.333352526942356,9.197264218229,3.9972770527626236,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.37,12.0,8.0,20.0,1.5,2.5,1.083227409477264
Cs3Cu2I5,2.4429,0.0,48.8,9.937806599043876,26.0,1.947,0.8100746879146391,1.87,2.66,0.79,1.75,0.5567764362830022,1.25,116.03307057,26.37186670887774,7.939077718229,2.841408612437405,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.87,12.0,8.0,20.0,1.5,2.5,1.0285189544531599
Cs3Fe2Cl9,0.5004000000000001,0.07550842214285701,26.428571428571427,15.234895497387782,38.0,2.462142857142857,0.9845388954910284,2.37,3.16,0.79,1.4,0.6414269805898185,1.6,59.248811121428574,39.09260040960582,10.299667884449287,3.7669316878233587,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.37,3.0,2.0,9.0,1.5,4.5,1.0606601717798214
Cs3GaBr6,2.3433,0.10382425674999801,40.6,9.499473669630333,24.0,2.194,0.9788585188881997,2.17,2.96,0.79,1.6,0.65612498809297,1.4500000000000002,94.78633557,25.132201159753535,8.856387918229,3.6676927440097056,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.17,3.0,1.0,6.0,3.0,6.0,1.0823062977345115
Cs3GaCl6,3.6339,0.08113523075000101,29.8,16.998823488700623,38.0,2.314,1.0731281377356574,2.37,3.16,0.79,1.51,0.7189575787207476,1.6,68.11573557,43.585354300278446,9.548681718228998,4.2268538903689015,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.37,3.0,1.0,6.0,3.0,6.0,1.1067758314224223
Cs3GaI6,1.1612,0.09599926075000201,51.4,6.8585712797928995,24.0,2.0140000000000002,0.8390494621892085,1.87,2.66,0.79,1.75,0.5572252686302014,1.3,122.98661756999999,17.95622506547719,8.038857918228999,3.010311896804209,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.87,3.0,1.0,6.0,3.0,6.0,1.047565601757848
Cs3HgBr5,2.484,0.003706199999999,46.66666666666667,14.907119849998598,45.0,2.13,0.9915308030179059,2.17,2.96,0.79,1.6722222222222223,0.6646265079439192,1.4500000000000002,110.98070618888889,39.86186885646387,9.020919020254446,3.6494551959155768,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.17,12.0,4.0,20.0,3.0,5.0,1.000622803565869
Cs3HgCl5,2.9503,0.0030055377777780004,36.666666666666664,23.142073276946377,63.0,2.2411111111111115,1.0851056727285386,2.37,3.16,0.79,1.588888888888889,0.7309726312621567,1.6,86.2857061888889,60.09760001363737,9.661931798032223,4.150638353546247,3.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,2.37,12.0,4.0,20.0,3.0,5.0,1.0182337649086284
Cs3In2Cl9,3.5398,0.0,29.714285714285715,17.148213448922192,38.0,2.455,0.9892692107958134,2.37,3.16,0.79,1.4214285714285715,0.6435710321863375,1.6,67.67352540714286,43.551509723538615,9.997366113020714,4.02336277128912,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.37,6.0,4.0,18.0,1.5,4.5,0.9982683969692436
Cs3InBr6,2.6733000000000002,0.0012132195000030001,42.4,9.210863151735564,20.0,2.191,0.9800760174598703,2.17,2.96,0.79,1.625,0.648941445740677,1.4500000000000002,99.29583557000001,24.261113409703334,8.835093288229,3.6847974694515804,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.17,3.0,1.0,6.0,3.0,6.0,0.9820927516479826
Cs3InCl6,3.7106,0.020726505499984,31.599999999999998,17.956614380222124,38.0,2.311,1.0745738690290212,2.37,3.16,0.79,1.5350000000000001,0.7155592218677641,1.6,72.62523557,45.79518904453798,9.527387088228998,4.245178490662864,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.37,3.0,1.0,6.0,3.0,6.0,0.9982683969692436
Cs3InI6,1.6049,0.07824076775000101,53.199999999999996,1.661324772583615,6.0,2.011,0.8398267678515613,1.87,2.66,0.79,1.775,0.5418717560456534,1.2000000000000002,127.49611757,5.0061725887389645,8.017563288228999,3.0253796529904275,3.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.87,3.0,1.0,6.0,3.0,6.0,0.958788855846166
