material_id,formula,band_gap,e_above_hull,composition_obj,space_group,predicted_gap_pbe,predicted_gap_exp,prediction_uncertainty,uncertainty,priority_score
mp-33498,Rb2CrCl4,0.5668000000000001,0.0,Rb4 Cr2 Cl8,64,1.3130036296135534,1.3130036296135534,0.428591034112743,0.428591034112743,0.8937164210835952
mp-1202213,Cs8Ga11Cl,0.925999999999999,0.0,Cs16 Ga22 Cl2,167,1.3608964053036687,1.3608964053036687,0.4160917525678567,0.41609175256785674,0.8918139314461946
mp-1219602,Rb4InSbCl12,1.033599999999999,0.0,Rb4 In1 Sb1 Cl12,123,1.3666867654268429,1.366686765426843,0.3446085618168594,0.34460856181685934,0.815258609688861
mp-1226134,Cs4TlSbCl12,0.9171,0.001195521666667,Cs4 Tl1 Sb1 Cl12,123,1.4394945325430788,1.4394945325430788,0.4732600472543498,0.47326004725434995,0.813776212554261
mp-1103650,RbCu2I3,1.9946000000000002,0.006174746388886001,Rb2 Cu4 I6,63,1.3424755066930059,1.3424755066930059,0.3013737150880235,0.30137371508802363,0.7884878730374721
mp-1212556,K2CoBr4,0.972299999999999,0.0,K8 Co4 Br16,62,1.4011035845124384,1.4011035845124384,0.350669005218099,0.350669005218099,0.7653873875489173
mp-1114101,RbTlBr3,0.9634,0.025314895749999,Rb2 Tl2 Br6,225,1.3605878371436604,1.3605878371436602,0.3797430175358346,0.3797430175358347,0.7547674004304815
mp-569309,RbMnCl3,1.3133,0.0,Rb6 Mn6 Cl18,194,1.331324113496108,1.331324113496108,0.24637977686885432,0.2463797768688543,0.7519871651847649
mp-569413,K2Sr(NbCl3)6,1.0688,0.0,K2 Sr1 Nb6 Cl18,148,1.3704150879401031,1.3704150879401034,0.281794631684589,0.281794631684589,0.7501832017967494
mp-1546519,CsHgCl3,1.0764,0.0071816991111130005,Cs8 Hg8 Cl24,64,1.3027145127880617,1.3027145127880617,0.3211523037035113,0.32115230370351133,0.746767438965923
mp-621938,Cs3Cr2I9,0.7209000000000001,0.0,Cs6 Cr4 I18,194,1.325395064757734,1.325395064757734,0.24821803032855513,0.24821803032855513,0.7441424491722242
mp-29845,CsHgCl3,2.0,0.0,Cs9 Hg9 Cl27,145,1.414203194830903,1.414203194830903,0.3487942051538949,0.348794205153895,0.7424742555687851
mp-1247749,CsSnBr3,0.9682000000000001,0.0,Cs4 Sn4 Br12,62,1.2883316248715888,1.2883316248715888,0.3074543940816296,0.3074543940816296,0.7399923577221547
mp-1112177,CsTlBr3,0.998499999999999,0.012241769749997002,Cs2 Tl2 Br6,225,1.394097144015707,1.394097144015707,0.34753951082017775,0.34753951082017775,0.7237696461284627
mp-1211761,K3Zr6BeCl15,0.9268999999999991,0.0,K6 Zr12 Be2 Cl30,15,1.500747218402052,1.500747218402052,0.46832969418200676,0.46832969418200676,0.715124648123618
mp-23451,Cs3Cr2Br9,1.0085,0.0,Cs6 Cr4 Br18,194,1.4446706418449125,1.4446706418449125,0.36948271115076436,0.36948271115076436,0.7127324986225909
mp-29694,KAuBr4,0.809999999999999,0.0,K4 Au4 Br16,14,1.28555969542803,1.2855596954280297,0.28132999639960055,0.28132999639960055,0.7109554848911581
mp-23486,RbNiCl3,0.7089000000000001,0.0,Rb2 Ni2 Cl6,194,1.2638364399915107,1.2638364399915107,0.3186050224629216,0.31860502246292155,0.710926142648199
mp-1209652,Rb2(NbBr3)3,1.118399999999999,0.0,Rb4 Nb6 Br18,12,1.3235458000209654,1.3235458000209652,0.21135834151958685,0.2113583415195868,0.7065023165010378
mp-1197432,CsHgCl3,0.9505,0.018041189333335,Cs8 Hg8 Cl24,14,1.3027145127880617,1.3027145127880617,0.3211523037035113,0.32115230370351133,0.7024238172501978
mp-1219782,Rb2CuBrCl3,0.348199999999999,0.004458230357144001,Rb4 Cu2 Br2 Cl6,41,1.2058969101978922,1.2058969101978922,0.41396333817052594,0.41396333817052594,0.6888257205759727
mp-1112940,Cs2AgSbCl6,1.662399999999999,0.0,Cs2 Ag1 Sb1 Cl6,225,1.3152633974796066,1.3152633974796066,0.20628690551706141,0.20628690551706147,0.6883616241549293
mp-1211124,Li6NiCl8,1.3726,0.0,Li6 Ni1 Cl8,225,1.4411916999460435,1.4411916999460435,0.33361808934631587,0.33361808934631587,0.6846307675209642
mp-1110690,Rb2CuBiCl6,1.0756000000000001,0.0,Rb2 Cu1 Bi1 Cl6,225,1.3428180969739307,1.3428180969739307,0.16063470455677856,0.16063470455677856,0.6808302572215599
mp-541738,Cs3Cr2I9,1.1273,0.016257456785713,Cs6 Cr4 I18,167,1.325395064757734,1.325395064757734,0.24821803032855513,0.24821803032855513,0.6777567810595364
mp-607298,Cs2Pd(ICl2)2,0.9218000000000001,0.0,Cs2 Pd1 I2 Cl4,139,1.3941880389977819,1.3941880389977819,0.24447512334487118,0.24447512334487118,0.67671299026173
mp-29882,CsPdCl3,1.4655,0.007462125500000001,Cs4 Pd4 Cl12,72,1.3029217602400116,1.3029217602400116,0.23994769591162426,0.23994769591162426,0.6696109309676872
mp-1113543,Cs2AgAsCl6,1.5886,0.008311962999999001,Cs2 Ag1 As1 Cl6,225,1.3401318177862105,1.3401318177862103,0.17771652971556182,0.17771652971556182,0.6672862419135349
mp-1110686,Rb2CuSbCl6,0.9004999999999991,0.0,Rb2 Cu1 Sb1 Cl6,225,1.3162889377855516,1.3162889377855516,0.17389920771498857,0.17389920771498857,0.6595675499964789
mp-1210192,NaFeBr4,1.0155,0.0,Na4 Fe4 Br16,62,1.5195835664221595,1.5195835664221595,0.43590262873911095,0.4359026287391111,0.6542247498404713
mp-23017,CsCu2Br3,1.4959,0.0,Cs2 Cu4 Br6,63,1.3765213110922252,1.3765213110922252,0.18533886379174355,0.18533886379174352,0.6496394538616157
mp-1213351,CsFeBr4,1.0776,0.0,Cs4 Fe4 Br16,62,1.2933463356834087,1.293346335683409,0.19894892011148343,0.1989489201114834,0.6460756045261385
mp-23076,Rb2CoCl4,0.7331000000000001,0.0,Rb8 Co4 Cl16,62,1.195186649913225,1.195186649913225,0.3646398320518692,0.36463983205186923,0.643365348330116
mp-1219616,Rb4TlSbCl12,0.919,0.0,Rb4 Tl1 Sb1 Cl12,123,1.5639217235180516,1.5639217235180511,0.4955027804159726,0.4955027804159728,0.6386709927099296
mp-571242,Rb2CoCl4,0.7291000000000001,0.001337183571429,Rb8 Co4 Cl16,33,1.195186649913225,1.195186649913225,0.3646398320518692,0.36463983205186923,0.6379050954782287
mp-569764,RbCu2I3,2.0713,0.001558384305555,Rb4 Cu8 I12,62,1.4215808910352443,1.4215808910352445,0.24961101663804067,0.24961101663804067,0.630949860433411
mp-1209606,RbFeBr4,1.0312,0.0,Rb4 Fe4 Br16,62,1.2683306954078897,1.2683306954078897,0.2206291372741516,0.22062913727415154,0.6260686576198636
mp-569028,Rb2SnBr6,1.3166,0.0,Rb2 Sn1 Br6,225,1.348130295830151,1.348130295830151,0.08519391296957027,0.08519391296957018,0.6013261573424111
mp-1192748,Cs3Nb2I9,0.43459999999999904,0.0,Cs6 Nb4 I18,194,1.121579209620033,1.121579209620033,0.44255469932347447,0.4425546993234745,0.5977726143388293
mp-1111655,Rb2AgAsCl6,1.2354,0.0,Rb2 Ag1 As1 Cl6,225,1.3279295850979513,1.3279295850979513,0.08817589442722576,0.0881758944272258,0.5977680451732036
mp-27570,CsFeCl4,1.3293,0.0,Cs4 Fe4 Cl16,62,1.39209156411907,1.39209156411907,0.15630826012398424,0.1563082601239843,0.5972062080628012
mp-1201250,Cs3Zr7MnCl20,1.1378,0.0,Cs6 Zr14 Mn2 Cl40,167,1.4119606179556021,1.4119606179556021,0.18889476638385758,0.18889476638385758,0.5957626418725407
mp-27691,K2PtBr6,1.1688,0.0,K2 Pt1 Br6,225,1.2924545904488518,1.2924545904488518,0.14517119992540745,0.14517119992540747,0.5940756690154266
mp-28076,K3Mn2Cl7,1.1779,0.015662013750000002,K3 Mn2 Cl7,139,1.419833540934512,1.419833540934512,0.2619806210889436,0.26198062108894365,0.5878098969191916
mp-30996,RbAuBr4,1.4772,0.0,Rb2 Au2 Br8,14,1.3899399543477615,1.3899399543477615,0.1413209488135099,0.1413209488135099,0.5865895744534941
mp-1112893,Cs2InAsBr6,0.718699999999999,0.028765792833333,Cs2 In1 As1 Br6,225,1.3368855150481205,1.3368855150481205,0.1854568751181602,0.18545687511816014,0.5862265575696664
