Split_Type,Mean_R2,Std_R2,Mean_RMSE,Std_RMSE,Mean_MAE,Std_MAE
Random,0.6026615412795217,0.016954927503979977,0.6388393339108672,0.02276775529158289,0.49341929975189247,0.02014662061110003
Group-by-B-element,0.24875973574291418,0.15898738333396034,0.8709206270156171,0.17314093422704457,0.7291145952740005,0.17182608658540605
Leave-One-Element-Out,-4.4915023673060155,15.783878913196176,0.8238947451371014,0.3450646452674475,0.7192685807707235,0.32612885932392915
Cluster (5),-0.1746790203043277,0.47139299358841596,0.9604424522063708,0.03372173834274333,0.8089663641022453,0.0224201584827893
