acquisition,round,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,n_labeled_mean
Random (Baseline),0,0.7933761389641422,0.11872646506240016,0.940425076404605,0.11494263882088895,0.10628063388718423,0.18174830757421243,200.0
Random (Baseline),1,0.7804281739060916,0.10566539395993714,0.92564243626273,0.09765744047628391,0.13505723177300885,0.14810003620151013,250.0
Target-Oriented,0,0.7933761389641422,0.11872646506240016,0.940425076404605,0.11494263882088895,0.10628063388718423,0.18174830757421243,200.0
Target-Oriented,1,0.7805281939060681,0.11638281141787424,0.9317466314939032,0.1154331404250507,0.12072341297466045,0.19173855551294672,250.0
Uncertainty,0,0.7933761389641422,0.11872646506240016,0.940425076404605,0.11494263882088895,0.10628063388718423,0.18174830757421243,200.0
Uncertainty,1,0.7869524840661102,0.12203084003398401,0.9342579931286104,0.1150637616482785,0.1197457455888549,0.16818423149129422,250.0
