acquisition,mean_delta_mae_pct,std_delta_mae_pct,n_seeds,se
Ensemble + Random,1.1952425602790933,3.20589726681751,10,1.0137937307651879
Ensemble + Uncertainty,0.028112165276973577,5.252852279437652,10,1.6610977415430237
GP + EI,1.1421277313413538,3.367705752439125,10,1.0649620666958788
GP + Random,1.0934882401605923,4.3495132543989525,10,1.3754368596992073
GP + UCB (κ=2),1.116790174917173,3.3603570776041765,10,1.0626382116696387
