fn1,fn2,mean1,mean2,improvement_pct,t_statistic,p_value,significant
target_oriented,uncertainty,0.7490767786354137,0.7539953541966501,-0.6566183469465642,-0.35556968607008604,0.7303542003438811,
target_oriented,random,0.7490767786354137,0.7668920704740748,-2.3782998414548513,-1.1377951798903339,0.28458834425133056,
uncertainty,random,0.7539953541966501,0.7668920704740748,-1.7104503636054398,-2.2605546617920833,0.050131130177900475,*
